,Year,Access to Electricity (% of population),Renewable Electricity Output (% of total electricity output),Renewable Energy Use (%),Annual CO2 Emissions (Mt)
count,3287.0,3287.0,3287.0,3287.0,3287.0
mean,2009.0,77.03286105076909,27.2813933910791,32.67292328747429,174.54064131426833
std,5.478058930031767,32.74748433252935,33.108993565275256,29.92127442499223,757.4348361202252
min,2000.0,0.0,0.0,0.0,0.0
25%,2004.0,55.20932663,0.0,6.8354001045,2.422
50%,2009.0,98.15841675,10.82070765,22.65979958,12.598
75%,2014.0,100.0,50.843135155,54.63809967,71.96600000000001
max,2018.0,100.0,100.0,98.34290314,9956.569
